id,genero,roles_nucleo,cantidad_estudios,orientacion_software,anios_estudio,rol_ocupacional,grupo_ocupacional,anios_laborales,periodos_desempleo,tiempo_desempleo,cantidad_puestos_total,cantidad_empresas_total,movilidad,reporta_ingles,rango_habilidades,rango_herramientas,caracteres_descripcion
487,0,0,2,0,9.8,Administración,Decisión y apoyo,10.5,1,> 1 año,4,2,0.4,1,5 a 9,1 a 4,0
488,0,0,4,0,14.7,Administración,Decisión y apoyo,7.7,0,0,4,4,0.5,1,20 a 24,1 a 4,0
489,1,0,1,0,0,Administración,Decisión y apoyo,8.4,0,0,2,2,0.2,0,1 a 4,1 a 4,0
490,1,0,1,0,4.8,Administración,Decisión y apoyo,1.2,0,0,1,1,0.8,0,5 a 9,0,0
491,0,0,3,0,4.7,Administración,Decisión y apoyo,35.6,2,> 1 año,10,9,0.3,1,15 a 19,1 a 4,0
492,0,0,0,0,0,Administración,Decisión y apoyo,1.1,0,0,1,1,0.9,0,0,0,0
493,0,0,2,0,10.6,Administración,Decisión y apoyo,9.8,1,1 a 3,7,5,0.7,1,20 a 24,1 a 4,541
494,1,0,1,0,4,Administración,Decisión y apoyo,6.8,0,0,6,2,0.9,1,20 a 24,5 a 9,0
495,0,0,0,0,0,Administración,Decisión y apoyo,0.3,1,1 a 3,1,1,3.3,0,5 a 9,0,0
496,0,0,2,0,7.8,Administración,Decisión y apoyo,24.5,3,> 1 año,8,8,0.3,0,0,0,0
497,0,0,2,0,12.8,Administración,Decisión y apoyo,14,0,0,2,2,0.1,0,5 a 9,1 a 4,0
498,0,0,2,0,3.9,Administración,Decisión y apoyo,3,1,1 a 3,5,5,1.7,1,20 a 24,1 a 4,0
499,0,0,2,0,8.7,Administración,Decisión y apoyo,14.3,3,> 1 año,8,5,0.6,1,20 a 24,1 a 4,0
500,1,0,1,0,5.9,Administración,Decisión y apoyo,4.9,3,> 1 año,4,3,0.8,0,5 a 9,1 a 4,0
501,1,0,2,0,7.8,Administración,Decisión y apoyo,5.9,0,0,4,4,0.7,1,20 a 24,1 a 4,2200
502,1,0,1,0,2.9,Administración,Decisión y apoyo,14.5,0,0,7,5,0.5,1,15 a 19,1 a 4,0
